0,1,2,3,4,5,6,7,8
Table 23: Projection of the supply of BSc nurses according to scenarios 3-4 (+10%),,,,,,,"Total popula-
tion in BD
(2018, 2024 &
2030)","Density per
10000"
Year,New registrations,,,"Supply of
previous year","Attrition
rate
4%",Total Supply,,
,"Grad-
uates",Increase,95%,,,,,
2018,,,,,,4064,164600000,0.25
2019,1345,,1278,4064,163,5179,,
2020,1909,,1814,5179,207,6786,,
2021,2773,,2634,6786,271,9148,,
2022,3207,,3047,9148,366,11829,,
2023,6317,10%,6001,11829,473,17357,,
2024,6317,,6001,17357,694,22665,174612904,1.30
2025,6317,,6001,22665,907,27759,,
2026,6317,,6001,27759,1110,32651,,
2027,6317,,6001,32651,1306,37346,,
2028,6317,,6001,37346,1494,41854,,
2029,6317,,6001,41854,1674,46181,,
2030,6317,,6001,46181,1847,50335,190686952,2.64
Source: BBS Pop Projection 2011-2061,,,,,,,,
