0,1,2,3,4,5,6,7,8
Table 26: Projection of the supply of Diploma nurses according to scenario 2 (+10%),,,,,,,"Total population
in BD
(2018, 2024 &
2030)","Density per
10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate",Total Supply,,
,"Gradu-
ates","In-
crease",80%,,4%,,,
2018,,,,,,50539,164600000,3.07
2019,5394,,4315,50539,2022,52833,,
2020,6711,,5369,52833,2113,56088,,
2021,7742,,6194,56088,2244,60038,,
2022,13736,10%,10989,60038,2402,68625,,
2023,13736,,10989,68625,2745,76869,,
2024,13736,,10989,76869,3075,84783,174612904,4.86
2025,13736,,10989,84783,3391,92380,,
2026,13736,,10989,92380,3695,99673,,
2027,13736,,10989,99673,3987,106675,,
2028,13736,,10989,106675,4267,113396,,
2029,13736,,10989,113396,4536,119849,,
2030,13736,,10989,119849,4794,126044,190686952,6.61
