0,1,2,3,4,5,6,7,8
"Table 54: Projection of the supply of Medical Technologists- Radiography & Imaging
according to scenarios 3-4 (+20%)",,,,,,,"Total pop-
ulation in
BD
(2018, 2024
& 2030)","Density
per 10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate",Total Supply,,
,Graduates,Increase,95%,,4%,,,
2018,,,,,,3435,164600000,0.21
2019,354,,336,3435,137,3634,,
2020,373,,354,3634,145,3843,,
2021,399,,379,3843,154,4068,,
2022,399,,379,4068,163,4285,,
2023,399,,379,4285,171,4492,,
2024,479,20%,455,4492,180,4767,174612904,0.27
2025,479,,455,4767,191,5032,,
2026,479,,455,5032,201,5285,,
2027,479,,455,5285,211,5529,,
2028,479,,455,5529,221,5762,,
2029,479,,455,5762,230,5987,,
2030,479,,455,5987,239,6202,190686952,0.33
Source: BBS Pop Projection 2011-2061,,,,,,,,
