0,1,2,3,4,5,6,7,8
Table 36: Projection of the supply of midwifes according to scenarios 3-4 (+20%),,,,,,,"Total
population
in BD
(2018,
2024 &
2030)","Density per
10000"
Year,New registrations,,,"Supply of
previous year","Attrition
rate
4%","Total
Supply",,
,Graduates,Increase,95%,,,,,
2018,,,,,,2131,164600000,0.13
2019,1068,,1015,2131,85,3060,,
2020,1416,,1345,3060,122,4283,,
2021,1441,,1369,4283,171,5481,,
2022,3551,20%,3373,5481,219,8635,,
2023,3551,,3373,8635,345,11663,,
2024,3551,,3373,11663,467,14570,174612904,0.83
2025,3551,,3373,14570,583,17360,,
2026,3551,,3373,17360,694,20039,,
2027,3551,,3373,20039,802,22611,,
2028,3551,,3373,22611,904,25080,,
2029,3551,,3373,25080,1003,27451,,
2030,3551,,3373,27451,1098,29726,190686952,1.56
