0,1,2,3
Table 18 (a): Projection of the increase of the supply of medical technologists (2018-2030) according to scenarios 1 and 2,,,
"Occupational category
(N. 2018)","Scenario 1
(N 2030/%)","Scenario 2 +10%
(N 2030/%)","Scenario 2 +20%
(N 2030/%)"
Medical Technologist- Laboratory (12744),+1418 (+11%),+1842 (+14%),+2266 (+18%)
Medical Technologist-Radiotherapy (576),+408 (+71%),+450 (+78%),+492 (+85%)
"Medical Technologist-Radiography & Ima-
ging (3435)",+1723 (+50%),+1922 (+56%),+2120 (+62%)
Medical Technologist-Physiotherapy (2376),+1586 (+67%),+1749 (+74%),+1911 (+80%)
Medical Technologist-Dentistry (4118),+967 (+23%),+1132 (+27%),+1297 (+32%)
"Medical Technologist-Operation Theater (OT)
Assistance (165)",+847 (+513%),+907 (+550%),+967 (+586%)
"Medical Technologist-Intensive Care (IC)
Assistance (60)",+561 (+935%),+596 (+993%),+631 (+1051%)
"Medical Technologist-Prosthetics and Orthot-
ics (23)",+54 (+236%),+58 (+253%),+62 (+270%)
"Medical Technologist - Pharmacy (B-Catego-
ry) (14454)",+1185 (+8%),+1354 (+9%),+1523 (+11%)
