0,1,2,3,4,5,6,7,8
"Table 82: Projection of the supply of Medical Technologist - Prosthetics and
Orthotics according to scenarios 3-4",,,,,,,"Total population
in BD
(2018, 2024 & 2030)","Density per
10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate","Total
Supply",,
,"Gradu-
ates",Increase,95%,,4%,,,
2018,,,,,,23,164600000,0.001
2019,9,,9,23,1,31,,
2020,7,,7,31,1,36,,
2021,9,,9,36,1,43,,
2022,9,,9,43,2,50,,
2023,8,,8,50,2,56,,
2024,8,,8,56,2,61,174612904,0.003
2025,8,,8,61,2,66,,
2026,8,,8,66,3,71,,
2027,8,,8,71,3,76,,
2028,8,,8,76,3,80,,
2029,8,,8,80,3,85,,
2030,8,,8,85,3,89,190686952,0.005
Source: BBS Pop Projection 2011-2061,,,,,,,,
