0,1,2,3,4,5,6,7,8
"Table 45: Projection of the supply of Medical Technologists-Radiotherapy accord-
ing to scenario 2 (+20%)",,,,,,,"Total population
in BD
(2018, 2024 &
2030)","Densi-
ty per
10000"
Year,New registrations,,,"Supply of
previous year","Attrition
rate
4%",Total Supply,,
,"Gradu-
ates",Increase,80%,,,,,
2018,,,,,,576,164600000,0.03
2019,75,,60,576,23,613,,
2020,77,,62,613,25,650,,
2021,64,,51,650,26,675,,
2022,84,,67,675,27,715,,
2023,84,,67,715,29,754,,
2024,101,20%,81,754,30,804,174612904,0.05
2025,101,,81,804,32,853,,
2026,101,,81,853,34,899,,
2027,101,,81,899,36,944,,
2028,101,,81,944,38,987,,
2029,101,,81,987,39,1028,,
2030,101,,81,1028,41,1068,190686952,0.06
Source: BBS Pop Projection 2011-2061,,,,,,,,
