0,1,2,3,4,5,6,7,8
"Table 50: Projection of the supply of Medical Technologists- Radiography & Im-
aging according to scenario 2 (+10%)",,,,,,,"Total population
in BD
(2018, 2024 &
2030)","Density per
10000"
Year,New registrations,,,"Supply of
previous year","Attrition
rate","Total
Supply",,
,Graduates,Increase,80%,,4%,,,
2018,,,,,,3435,164600000,0.21
2019,354,,283,3435,137,3581,,
2020,373,,298,3581,143,3736,,
2021,399,,319,3736,149,3906,,
2022,399,,319,3906,156,4069,,
2023,399,,319,4069,163,4225,,
2024,439,10%,351,4225,169,4407,174612904,0.25
2025,439,,351,4407,176,4582,,
2026,439,,351,4582,183,4750,,
2027,439,,351,4750,190,4911,,
2028,439,,351,4911,196,5066,,
2029,439,,351,5066,203,5214,,
2030,439,,351,5214,209,5357,190686952,0.28
,,,,,,Source: BBS Pop Projection 2011-2061,,
