0,1,2,3,4,5,6,7,8
"Table 77: Projection of the supply of Medical Technologists- Intensive Care
(IC) Assistance according to scenarios 3-4 (+10%)",,,,,,,"Total population in
BD
(2018, 2024 & 2030)","Density per
10000"
Year,New registrations,,,"Supply of
previous
year","Attri-
tion
rate","Total
Supply",,
,"Gradu-
ates",Increase,95%,,4%,,,
2018,,,,,,60,164600000,0.00
2019,32,,30,60,2,88,,
2020,125,,119,88,4,203,,
2021,128,,122,203,8,317,,
2022,70,,67,317,13,371,,
2023,70,,67,371,15,422,,
2024,77,10%,73,422,17,478,174612904,0.03
2025,77,,73,478,19,532,,
2026,77,,73,532,21,584,,
2027,77,,73,584,23,634,,
2028,77,,73,634,25,682,,
2029,77,,73,682,27,728,,
2030,77,,73,728,29,772,190686952,0.04
Source: BBS Pop Projection 2011-2061,,,,,,,,
