0,1,2,3,4,5,6,7,8,9
"Table 58: Projection of the supply of Medical Technologists- Physiotherapy according
to scenarios 3-4",,,,,,,,"Total pop-
ulation in
BD
(2018, 2024
& 2030)","Density per
10000"
Year,New registrations,,,"Supply of pre-
vious year","Attrition
rate
4%","Total Sup-
ply",,,
,"Gradu-
ates","In-
crease",95%,,,,,,
2018,,,,,,,2376,164600000,0.14
2019,319,,303,2376,95,,2584,,
2020,303,,288,2584,103,,2768,,
2021,341,,324,2768,111,,2982,,
2022,297,,282,2982,119,,3145,,
2023,327,,311,3145,126,,3329,,
2024,327,,311,3329,133,,3507,174612904,0.20
2025,327,,311,3507,140,,3677,,
2026,327,,311,3677,147,,3841,,
2027,327,,311,3841,154,,3998,,
2028,327,,311,3998,160,,4149,,
2029,327,,311,4149,166,,4293,,
2030,327,,311,4293,172,,4432,190686952,0.23
,,,,,Source: BBS Pop Projection 2011-2061,,,,
