0,1,2,3,4,5,6,7,8
"Table 63: Projection of the supply of Medical Technologists- Dentistry accord-
ing to scenario 2 (+20%)",,,,,,,"Total population
in BD
(2018, 2024 &
2030)","Density per
10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
4%",Total Supply,,
,"Gradu-
ates",Increase,80%,,,,,
2018,,,,,,4118,164600000,0.25
2019,287,,230,4118,165,4183,,
2020,336,,269,4183,167,4284,,
2021,344,,275,4284,171,4388,,
2022,340,,272,4388,176,4485,,
2023,332,,266,4485,179,4571,,
2024,398,20%,319,4571,183,4707,174612904,0.27
2025,398,,319,4707,188,4837,,
2026,398,,319,4837,193,4962,,
2027,398,,319,4962,198,5083,,
2028,398,,319,5083,203,5198,,
2029,398,,319,5198,208,5309,,
2030,398,,319,5309,212,5415,190686952,0.28
,,,,,,Source: BBS Pop Projection 2011-2061,,
