0,1,2,3,4,5,6,7,8
"Table 25: Projection of the supply of Diploma nurses according to sce-
nario 1",,,,,,,"Total population
in BD
(2018, 2024 &
2030)","Density per
10000"
Year,New registrations,,,"Supply of pre-
vious year","Attrition rate
4%","Total
Supply",,
,"Gradu-
ates","In-
crease",80%,,,,,
2018,,,,,,50539,164600000,3.07
2019,5394,,4315,50539,2022,52833,,
2020,6711,,5369,52833,2113,56088,,
2021,7742,,6194,56088,2244,60038,,
2022,12487,,9990,60038,2402,67626,,
2023,12487,,9990,67626,2705,74911,,
2024,12487,,9990,74911,2996,81904,174612904,4.69
2025,12487,,9990,81904,3276,88617,,
2026,12487,,9990,88617,3545,95062,,
2027,12487,,9990,95062,3802,101249,,
2028,12487,,9990,101249,4050,107189,,
2029,12487,,9990,107189,4288,112891,,
2030,12487,,9990,112891,4516,118365,190686952,6.21
Source: BBS Pop Projection 2011-2061,,,,,,,,
