0,1,2,3
"Table 1: Total number of health worker education institutions (public including armed forces, and
private), 2010, 2016, 2020",,,
Type of Institution,2010,2016,2020
Medical Colleges,62,105,113
Dental Colleges,17,35,35
Nursing Colleges,30,64,174
Nursing Institutes (Nursing & Midwifery),57,157,223
Medical Assistant Training Schools (MATS),47,208,209
Institutes of Health Technology (offering DMT in pharmacy5),61 (35),105 (51),110 (54)
No. of Universities offering B Pharm4,32,36,41
Total,306,710,905
