0,1,2
Indicator,"Benchmark
(Year)","Current progress
(Reference)"
"HIV prevalence among
population aged 15-24 years (%)",0.005 (1990),0.7% (NASP 2011)*
"Population with advanced HIV
infection with access to ARV
drugs (%)",-,45.0 (UNGASS 2012)
"Malaria prevalence/100,000
population",58.5 (2008),"18.4 (DGHS 2012)**
Estimated based on
reported malaria cases"
"Malarial death rate/100,000
population",0.106 (2008),"0.007 (DGHS 2012)**
Estimated based on
reported malaria cases"
"Under-five children sleeping
under insecticide-treated
bednets in endemic areas (%)",81.0 (2008),94.4 (DGHS 2012)**
"Under-five children with
fever treated with appropriate
antimalarial drugs (%)",60.0 (2008),89.0 (DGHS 2011)*
"TB (all forms) prevalence
rate/100,000 population",639.0 (1990),411.0 (DGHS 2011)*
"TB death rate/100,000
population",76.0 (1990),45.0 (DGHS 2011)*
"New smear+ve TB case
notification rate under DOTS (%)",21.0 (1994),68.0 (NTP 2013**)
TB cure rate (%) with DOTS,73.0 (1994),92.0 (NTP 2012)**
