0,1,2,3,4,5,6,7,8,9,10,11,12,13
,Name,,,,,,,,,,,Source,
,A. GEOGRAPHY,,,,,,,,,,,,
1,,Location,,,,,"Between 20°34'
and 26° 38'
north latitude
and between
80°01' and
92° 41' east
longitude",,,,"Staistical Pocket Book
of Bangladesh
2008",,
2,,Boundary,,,,,"North: India
West: India
South: Bay
of Bengal East:
India &
Myanmar",,,,"Staistical
Pocket Book
of Bangladesh 2008",,
3,,Area (Sq.Km.),,,,,"147,570 Sq.Km.
(56977 Sq. miles)",,,,"Staistical Pocket Book
of Bangladesh 2008",,
4,,Territorial Water,,,,,12 Nautical miles,,,,Do,,
5,,Standard Time,,,,,GMT + 7 hrs,,,,,,
6,,Rainfall,,,,,203mm/month,,,,,,
,B. ADMINISTRATION,,,,,,,,,,,,
7,,Division,,,,,6,,,,"Statistical Pocket Book
Bangladesh 2008, BBS
Health MIS, 2009 BBS,
2008",,
,,City Corporation,,,,,6,,,,,,
,,Metropolitan City,,,,,4,,,,,,
,,Municipality,,,,,308,,,,,,
8,,Districts,,,,,64,,,,,,
,,Upazila,,,,,482,,,,,,
9,,Union,,,,,"4,498",,,,,,
10,,Mouza,,,,,"59,229",,,,,,
11,,Village (approximately),,,,,"87,310",,,,,,
12,,Household,,,,,"2,54,90,822",,,,,,
13,,Average size of Household,,,,,4.7,,,,"SVRS, 2007",,
,C. DEMOGRAPHY,,,,,,,,,,,,
14,,Population (2001 Census),,Total,,,,,"124.355
million",,"Statistical Pocket Book
Bangladesh 2008, BBS",,
,,,,Male,,,,,64.091 million,,,,
,,,,Female,,,,,60.264 million,,,,
15,,Population Projected July 2007,,Total,,,,,143.91 million,,"Statistical Pocket Book
Bangladesh 2008, BBS",,
,,,,Male,,,,,74.09 million,,,,
,,,,Female,,,,,69. 81 million,,,,
16,,Sex Ratio (Male per 100 Female),,,,,,,106.0,,"Statistical Pocket Book
Bangladesh 2008, BBS",,
17,,Under 5 Population (in %),,,,,,,11.7,,"SVRS, 2007, BBS",,
18,,"Under 00-14 Population (in %) Both
sexes",,,,,,,35.1,,"SVRS, 2007, BBS",,
19,,Female Population (15-49 yrs in %),,,,,,,53.0,,"SVRS, 2007, BBS",,
20,,Population (60 yrs + in %) Both sexes,,,,,,,6.6,,"SVRS, 2007, BBS",,
21,,Population Density per sq.km.,,,,,,,966,,"SVRS, 2007, BBS",,
