0,1,2,3
"Achievement of In-Service Training (IST) from July,2008 to April,2009 Local Training",,,
Name of Activity,,,
,,,Achievement
"Training for Nurses and Paramedics on advanced ESP clinical skills from district, upazila and below on
Reproductive health (10 days)",,,
,,,136
,,,
,"Training for Nurses and Paramedics on advanced ESP clinical skills from district, upazila and below on",,67
,Reproductive health (06 days),,
"1 day orientation on survical and breast cancer awareness for opinion leaders including curriculum and
teaching aids development.",,,
,,,550
Breast feeding counseling training for health care providers (HAs/Field service providers.) (3 days),,,
,,,365
6 days training for doctors on violence against women and girls.,,,
,,,165
6 days training for nurses on violence against women and girls.,,,410
"2 days orientation on medico legal activities for CS, DCS, RMO etc including Curriculum Review",,,300
"1 day Orientation on Continuing Performance Development (CPD) on Medical, Surgical & Management skill
for Medical personnel at division level",,,100
