0,1,2,3,4,5,6,7,8
Position,0-28 d,29d-11m,1-4y,5-14y,15-24y,25-49 y,50+,All age
1,"Septicemia
31.1%","Diarrhea
30.5%","Diarrhea
23.1%",Diarrhea 27.3%,"Head Injury
11.9%",Assault 8.4%,CVA 7.7%,"Diarrhea
12.2%"
2,Anemia 14.1%,"Bronchiolitis
18.2%","Congenital
Heart Disease
7.3%",COPD 7.3%,"Suppurative
Otitis Media
9.4%","Head Injury
5.3%",Assault 7.3%,"Suppurative
Otitis Media
5.3%"
3,"Pneumonia
6.1%","Pneumonia
11.7%","Suppurative
Otitis Media
6.9%","Suppurative
Otitis Media
5.9%",Assault 8.2%,Arthritis 5.2%,"Road Traffic
Accident 6.8%",Assault 4.6%
4,"Allergic
Reaction 5.1%","Suppurative
Otitis Media
5.9%","Bronchiolitis
6.5%",Tonsillitis 5.1%,Arthritis 4.4%,"Heart failure
4.1%",Arthritis 5.6%,"Head Injury
3.9%"
5,"Congenital
Heart Disease
3.4%",Anemia 4.1%,Tonsillitis 6.5%,"Bronchial
Asthma 4.9%","Poisoning
4.0%",Abortion 3.0%,"Hypertension
5.0%","Pneumonia
3.4%"
6,"Valvular Heart
Disease 1.7%","Septicemia
3.9%","Pneumonia
6.3%","Hypertension
3.1%","Tonsillitis
3.9%","Suppurative
Otitis Media
3.0%",COPD 3.9%,COPD 3.0%
7,"Bronchiolitis
0.8%","Protein
Energy
Malnutrition
2.9%","Bronchial
Asthma 3.6%","Pneumonia
2.7%",Abortion 3.1%,"Peptic Ulcer
2.8%","Bronchial
Asthma 2.6%",Arthritis 2.9%
8,"Diarrhoea
0.6%","Allergic
Reaction
2.4%","Tuberculosis
(Pulmonary)
3.5%","Enteric Fever
2.3%","Road Traffic
Accident 2.8%","Poisoning
2.7%","Peptic Ulcer
2.5%","Bronchiolitis
2.8%"
9,"Dysentery
0.6%","Bacillary
Dysentery
2.1%","Protein Energy
Malnutrition
2.9%","Heart failure
2.0%",COPD 2.1%,COPD 2.6%,C.C.F 2.1%,"Tonsillitis
2.7%"
10,"Hemolytic
Jaundice
0.5%","Congenital
Heart Disease
1.8%","Dysentery
2.4%","Thalassemia
1.9%","Peptic Ulcer
2.0%","Diabetes
Mellitus 2.4%","Heart failure
1.9%","Bronchial
Asthma 2.4%"
"No. of
Patients","6,580","20,863","28,611","41,226","44,216","43,057","29,180","2,13,733"
