0,1,2,3,4
,Impact/Outcome Indicators(s),Unit of Measurement,Achievement,Target(2010)
,,,2008,
Treatment coverage with AMC,,"% of population provided with AMC
treatment.","About 10%
(Average AMC","About 32% (Total AMC
Service"
,,,Service Delivery),Deliv ery)
,1. Evaluation of AMC Service delivery,No. of Evaluation,3,9
,2. Survey of AMC services,No. of survey to be conducted,3,9
,3. Service providers skill Development,No. of orientation workshop,46,90
,4. Fellowship for PG studies,No. of person provide d with,01,24
,,fellowship.,,
,5.Procurement of Medicine & Medical,"No. of Institutions provided with
Medicine & MSR",49 Institutions,64
Requisites .,,,,
,6. Overseas Training.,No. of Trainees providing Overseas,-,60
,,Training.,,
,7. Awareness development through BCC,"No. of Billboard
No. &type of Poster
No. &type of Sticker",22,64
"ac tivities i; e: Billboard, Poster, Sticker etc.",,,,
,,,,
,8. Establishment of Graduate College.,No. of Graduate College,-,3
,9. Establishment of Registration Council.,No. of Registration Council,-,3
,10. Preparation of AMC Pharmacopoeia,No. of Pharmacopoeia,03(1st part),3(Full)
,11. Creation of herbal garden at central level,No. of herbal garden,-,01
"12.Creation and maintenance of herbal
garden at District Hospitals & UHC’s",,No. of herbal gardens,467,525
,12. Establishment and functioning of research,No. of institutions,-,3
unit of GUADCH & GHDCH.,,,,
