0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
District,,,Upazila,,,District,,,Upazilla,,,Disrtict,,,Upazila,,
,Barisal,,,Banaripara,,,Tangail,,,Sakhipur,,,Cox’sbazar,,,Ukhia,
Patuakhali,,,Kalapara,,,Jessore,,,Chaugacha,,,Cox’sbazar,,,Teknaf,,
,Chittagong,,,Mirsharai,,,Khulna,,,Paikgacha,,,Shariatpur,,,Naria,
Comilla,,,Daudkandi,,,Kustia,,,Daulatpur,,,Shunamgonj,,,Sulla,,
,Noakhali,,,Chatkhil,,,Bogra,,,Khetlal,,,Kurigram,,,Ulipur,
Chittagong,,,Ramu,,,Dinajpur,,,Khanshama,,,Chandpur,,,Matlab-North,,
,Dhaka,,,Harirampur,,,Pabna,,,Shahjadpur,,,Panchagar,,,Debigangnj,
Faridpur,,,Bhanga,,,Rajshahi,,,Shibganj,,,Naogaon,,,Atrai,,
,Jamalpur,,,Sarishabari,,,Rangpur,,,Gobindaganj,,,Laximpur,,,Raipur,
Mymensingh,,,Tarail,,,Sylhet,,,Baniachong,,,Pirojpur,,,Nazipur,,
,Narayanganj,,,Raipura,,,Madaripur,,,Shibchar,,,Meherpur,,,Gangni,
