catalog_row,source,raw_file,extracted_file,extracted_rows,cleaned_files,sql_tables,inserted_rows,status
114,DGHS Active Facility Registry,source_datasets/dghs_active_facility_registry_2026-09-01.xlsx,extracted_tables/114_DGHS_Active_Facility_Registry/table_0001.csv,39434,cleaned_tables/114_DGHS_Active_Facility_Registry/HealthFacility.csv; cleaned_tables/114_DGHS_Active_Facility_Registry/Laboratory.csv,HealthFacility; Laboratory,49128,loaded
115,Bangladesh Core FHIR IG v0.4.6,source_datasets/bd_core_fhir_ig_0.4.6_full.zip,extracted_tables/115_Bangladesh_Core_FHIR_IG/table_0001.csv,1529,,,0,reference package
116,Bangladesh ICD-11 Condition ValueSet,source_datasets/bd_condition_icd11_2025_01_ocl.json,extracted_tables/116_Bangladesh_ICD11_Condition_ValueSet/table_0001.csv,18508,cleaned_tables/116_Bangladesh_ICD11_Condition_ValueSet/Disease.csv,Disease,18508,loaded
117,Bangladesh Vaccine Value Set,source_datasets/bd_vaccine_code_system_0.4.6.json,extracted_tables/117_Bangladesh_Vaccine_Value_Set/table_0001.csv,10,cleaned_tables/117_Bangladesh_Vaccine_Value_Set/VaccineReference.csv,,0,reference only: no patient event fields
118,Bangladesh Open Data Doctor Directory,source_datasets/bangladesh_open_data_doctor_directory_2016.xls,extracted_tables/118_Bangladesh_Open_Data_Doctor_Directory/table_0001.csv,199,cleaned_tables/118_Bangladesh_Open_Data_Doctor_Directory/Designation.csv,Designation,54,designations loaded; providers excluded because Gender is absent
