file,category,keyword_score,matched_keywords,classification_status,quality_status,rows,cols
quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_005.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_006.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_007.csv,unclassified,0,,quality_gate_not_passed,rejected,1,1
quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_008.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_009.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_010.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_011.csv,unclassified,0,,quality_gate_not_passed,rejected,1,1
quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_012.csv,unclassified,0,,quality_gate_not_passed,rejected,1,1
quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_013.csv,unclassified,0,,quality_gate_not_passed,rejected,1,1
quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_014.csv,unclassified,0,,quality_gate_not_passed,rejected,1,1
quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_015.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_016.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_017.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_018.csv,unclassified,0,,quality_gate_not_passed,rejected,1,1
quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_019.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/022_United_Nations_Populations_fund/table_001.csv,unclassified,0,,quality_gate_not_passed,review_required,7,5
quarantined_tables/022_United_Nations_Populations_fund/table_002.csv,unclassified,0,,quality_gate_not_passed,review_required,28,7
quarantined_tables/022_United_Nations_Populations_fund/table_003.csv,unclassified,0,,quality_gate_not_passed,review_required,10,7
quarantined_tables/022_United_Nations_Populations_fund/table_004.csv,unclassified,0,,quality_gate_not_passed,review_required,12,7
quarantined_tables/023_nan/table_001.csv,unclassified,0,,quality_gate_not_passed,review_required,7,5
quarantined_tables/023_nan/table_002.csv,unclassified,0,,quality_gate_not_passed,review_required,10,8
quarantined_tables/023_nan/table_003.csv,unclassified,0,,quality_gate_not_passed,review_required,8,6
quarantined_tables/025_nan/table_001.csv,unclassified,0,,quality_gate_not_passed,review_required,6,4
quarantined_tables/025_nan/table_002.csv,unclassified,0,,quality_gate_not_passed,review_required,5,6
quarantined_tables/025_nan/table_003.csv,unclassified,0,,quality_gate_not_passed,review_required,9,6
quarantined_tables/027_Health_Bulletin_2023/table_0001.csv,unclassified,0,,quality_gate_not_passed,rejected,1,1
quarantined_tables/027_Health_Bulletin_2023/table_0002.csv,unclassified,0,,quality_gate_not_passed,review_required,16,4
quarantined_tables/027_Health_Bulletin_2023/table_0003.csv,unclassified,0,,quality_gate_not_passed,review_required,16,4
quarantined_tables/027_Health_Bulletin_2023/table_0004.csv,unclassified,0,,quality_gate_not_passed,review_required,17,13
quarantined_tables/027_Health_Bulletin_2023/table_0005.csv,unclassified,0,,quality_gate_not_passed,review_required,17,4
quarantined_tables/027_Health_Bulletin_2023/table_0006.csv,unclassified,0,,quality_gate_not_passed,review_required,26,4
quarantined_tables/027_Health_Bulletin_2023/table_0007.csv,unclassified,0,,quality_gate_not_passed,review_required,17,4
quarantined_tables/027_Health_Bulletin_2023/table_0008.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/027_Health_Bulletin_2023/table_0009.csv,unclassified,0,,quality_gate_not_passed,review_required,9,4
quarantined_tables/027_Health_Bulletin_2023/table_0010.csv,unclassified,0,,quality_gate_not_passed,review_required,6,2
quarantined_tables/027_Health_Bulletin_2023/table_0011.csv,unclassified,0,,quality_gate_not_passed,review_required,29,4
quarantined_tables/027_Health_Bulletin_2023/table_0012.csv,unclassified,0,,quality_gate_not_passed,review_required,10,4
quarantined_tables/027_Health_Bulletin_2023/table_0013.csv,unclassified,0,,quality_gate_not_passed,review_required,10,4
quarantined_tables/027_Health_Bulletin_2023/table_0014.csv,unclassified,0,,quality_gate_not_passed,review_required,11,4
quarantined_tables/027_Health_Bulletin_2023/table_0015.csv,unclassified,0,,quality_gate_not_passed,review_required,8,4
quarantined_tables/027_Health_Bulletin_2023/table_0016.csv,unclassified,0,,quality_gate_not_passed,review_required,5,4
quarantined_tables/027_Health_Bulletin_2023/table_0017.csv,unclassified,0,,quality_gate_not_passed,review_required,12,3
quarantined_tables/027_Health_Bulletin_2023/table_0018.csv,unclassified,0,,quality_gate_not_passed,review_required,2,2
quarantined_tables/027_Health_Bulletin_2023/table_0019.csv,unclassified,0,,quality_gate_not_passed,review_required,1,2
quarantined_tables/027_Health_Bulletin_2023/table_0020.csv,unclassified,0,,quality_gate_not_passed,review_required,4,2
quarantined_tables/027_Health_Bulletin_2023/table_0021.csv,unclassified,0,,quality_gate_not_passed,review_required,8,4
quarantined_tables/027_Health_Bulletin_2023/table_0022.csv,unclassified,0,,quality_gate_not_passed,review_required,11,4
quarantined_tables/027_Health_Bulletin_2023/table_0023.csv,unclassified,0,,quality_gate_not_passed,review_required,12,2
quarantined_tables/027_Health_Bulletin_2023/table_0024.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/027_Health_Bulletin_2023/table_0025.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/027_Health_Bulletin_2023/table_0026.csv,unclassified,0,,quality_gate_not_passed,review_required,9,17
quarantined_tables/027_Health_Bulletin_2023/table_0027.csv,unclassified,0,,quality_gate_not_passed,review_required,3,2
quarantined_tables/027_Health_Bulletin_2023/table_0028.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/027_Health_Bulletin_2023/table_0029.csv,unclassified,0,,quality_gate_not_passed,review_required,7,2
quarantined_tables/027_Health_Bulletin_2023/table_0030.csv,unclassified,0,,quality_gate_not_passed,review_required,3,3
quarantined_tables/027_Health_Bulletin_2023/table_0031.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/027_Health_Bulletin_2023/table_0032.csv,unclassified,0,,quality_gate_not_passed,review_required,11,4
quarantined_tables/027_Health_Bulletin_2023/table_0033.csv,unclassified,0,,quality_gate_not_passed,review_required,2,2
quarantined_tables/027_Health_Bulletin_2023/table_0034.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/027_Health_Bulletin_2023/table_0035.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/027_Health_Bulletin_2023/table_0036.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/027_Health_Bulletin_2023/table_0037.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/027_Health_Bulletin_2023/table_0038.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/027_Health_Bulletin_2023/table_0039.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/027_Health_Bulletin_2023/table_0040.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/027_Health_Bulletin_2023/table_0041.csv,unclassified,0,,quality_gate_not_passed,review_required,7,8
quarantined_tables/027_Health_Bulletin_2023/table_0042.csv,unclassified,0,,quality_gate_not_passed,review_required,7,12
quarantined_tables/027_Health_Bulletin_2023/table_0043.csv,unclassified,0,,quality_gate_not_passed,review_required,4,8
quarantined_tables/027_Health_Bulletin_2023/table_0044.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/027_Health_Bulletin_2023/table_0045.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/027_Health_Bulletin_2023/table_0046.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/027_Health_Bulletin_2023/table_0047.csv,unclassified,0,,quality_gate_not_passed,review_required,5,8
quarantined_tables/027_Health_Bulletin_2023/table_0048.csv,unclassified,0,,quality_gate_not_passed,review_required,5,5
quarantined_tables/027_Health_Bulletin_2023/table_0049.csv,unclassified,0,,quality_gate_not_passed,review_required,20,2
quarantined_tables/027_Health_Bulletin_2023/table_0050.csv,unclassified,0,,quality_gate_not_passed,review_required,6,2
quarantined_tables/027_Health_Bulletin_2023/table_0051.csv,unclassified,0,,quality_gate_not_passed,review_required,8,5
quarantined_tables/027_Health_Bulletin_2023/table_0052.csv,unclassified,0,,quality_gate_not_passed,review_required,7,2
quarantined_tables/027_Health_Bulletin_2023/table_0053.csv,unclassified,0,,quality_gate_not_passed,review_required,3,5
quarantined_tables/027_Health_Bulletin_2023/table_0054.csv,unclassified,0,,quality_gate_not_passed,review_required,8,9
quarantined_tables/027_Health_Bulletin_2023/table_0055.csv,unclassified,0,,quality_gate_not_passed,rejected,1,1
quarantined_tables/027_Health_Bulletin_2023/table_0056.csv,unclassified,0,,quality_gate_not_passed,review_required,1,3
quarantined_tables/027_Health_Bulletin_2023/table_0057.csv,unclassified,0,,quality_gate_not_passed,review_required,4,25
quarantined_tables/027_Health_Bulletin_2023/table_0058.csv,unclassified,0,,quality_gate_not_passed,review_required,11,4
quarantined_tables/027_Health_Bulletin_2023/table_0059.csv,unclassified,0,,quality_gate_not_passed,review_required,6,7
quarantined_tables/027_Health_Bulletin_2023/table_0060.csv,unclassified,0,,quality_gate_not_passed,review_required,8,17
quarantined_tables/027_Health_Bulletin_2023/table_0061.csv,unclassified,0,,quality_gate_not_passed,review_required,7,5
quarantined_tables/027_Health_Bulletin_2023/table_0062.csv,unclassified,0,,quality_gate_not_passed,review_required,6,5
quarantined_tables/027_Health_Bulletin_2023/table_0063.csv,unclassified,0,,quality_gate_not_passed,review_required,7,3
quarantined_tables/027_Health_Bulletin_2023/table_0064.csv,unclassified,0,,quality_gate_not_passed,review_required,10,2
quarantined_tables/027_Health_Bulletin_2023/table_0065.csv,unclassified,0,,quality_gate_not_passed,review_required,16,35
quarantined_tables/027_Health_Bulletin_2023/table_0066.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/027_Health_Bulletin_2023/table_0067.csv,unclassified,0,,quality_gate_not_passed,review_required,8,2
quarantined_tables/027_Health_Bulletin_2023/table_0068.csv,unclassified,0,,quality_gate_not_passed,review_required,12,3
quarantined_tables/027_Health_Bulletin_2023/table_0069.csv,unclassified,0,,quality_gate_not_passed,review_required,6,3
quarantined_tables/027_Health_Bulletin_2023/table_0070.csv,unclassified,0,,quality_gate_not_passed,review_required,4,4
quarantined_tables/027_Health_Bulletin_2023/table_0071.csv,unclassified,0,,quality_gate_not_passed,review_required,5,2
quarantined_tables/027_Health_Bulletin_2023/table_0072.csv,unclassified,0,,quality_gate_not_passed,review_required,9,2
quarantined_tables/027_Health_Bulletin_2023/table_0073.csv,unclassified,0,,quality_gate_not_passed,review_required,4,2
quarantined_tables/027_Health_Bulletin_2023/table_0074.csv,unclassified,0,,quality_gate_not_passed,review_required,3,2
quarantined_tables/027_Health_Bulletin_2023/table_0075.csv,unclassified,0,,quality_gate_not_passed,review_required,12,4
quarantined_tables/027_Health_Bulletin_2023/table_0076.csv,unclassified,0,,quality_gate_not_passed,review_required,16,18
quarantined_tables/027_Health_Bulletin_2023/table_0077.csv,unclassified,0,,quality_gate_not_passed,review_required,12,9
quarantined_tables/027_Health_Bulletin_2023/table_0078.csv,unclassified,0,,quality_gate_not_passed,review_required,15,5
quarantined_tables/027_Health_Bulletin_2023/table_0079.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/027_Health_Bulletin_2023/table_0080.csv,unclassified,0,,quality_gate_not_passed,review_required,15,3
quarantined_tables/027_Health_Bulletin_2023/table_0081.csv,unclassified,0,,quality_gate_not_passed,review_required,10,3
quarantined_tables/027_Health_Bulletin_2023/table_0082.csv,unclassified,0,,quality_gate_not_passed,review_required,3,4
quarantined_tables/027_Health_Bulletin_2023/table_0083.csv,unclassified,0,,quality_gate_not_passed,review_required,5,5
quarantined_tables/027_Health_Bulletin_2023/table_0084.csv,unclassified,0,,quality_gate_not_passed,review_required,14,5
quarantined_tables/027_Health_Bulletin_2023/table_0085.csv,unclassified,0,,quality_gate_not_passed,review_required,11,6
quarantined_tables/027_Health_Bulletin_2023/table_0086.csv,unclassified,0,,quality_gate_not_passed,review_required,6,6
quarantined_tables/027_Health_Bulletin_2023/table_0087.csv,unclassified,0,,quality_gate_not_passed,review_required,13,11
quarantined_tables/027_Health_Bulletin_2023/table_0088.csv,unclassified,0,,quality_gate_not_passed,review_required,7,4
quarantined_tables/027_Health_Bulletin_2023/table_0089.csv,unclassified,0,,quality_gate_not_passed,review_required,5,4
quarantined_tables/027_Health_Bulletin_2023/table_0090.csv,unclassified,0,,quality_gate_not_passed,review_required,10,4
quarantined_tables/027_Health_Bulletin_2023/table_0091.csv,unclassified,0,,quality_gate_not_passed,review_required,6,4
quarantined_tables/027_Health_Bulletin_2023/table_0092.csv,unclassified,0,,quality_gate_not_passed,review_required,6,4
quarantined_tables/027_Health_Bulletin_2023/table_0093.csv,unclassified,0,,quality_gate_not_passed,review_required,5,2
quarantined_tables/027_Health_Bulletin_2023/table_0094.csv,unclassified,0,,quality_gate_not_passed,review_required,15,6
quarantined_tables/027_Health_Bulletin_2023/table_0095.csv,unclassified,0,,quality_gate_not_passed,review_required,3,3
quarantined_tables/027_Health_Bulletin_2023/table_0096.csv,unclassified,0,,quality_gate_not_passed,review_required,4,2
quarantined_tables/027_Health_Bulletin_2023/table_0097.csv,unclassified,0,,quality_gate_not_passed,review_required,15,3
quarantined_tables/027_Health_Bulletin_2023/table_0098.csv,unclassified,0,,quality_gate_not_passed,review_required,11,4
quarantined_tables/027_Health_Bulletin_2023/table_0099.csv,unclassified,0,,quality_gate_not_passed,review_required,11,9
quarantined_tables/027_Health_Bulletin_2023/table_0100.csv,unclassified,0,,quality_gate_not_passed,review_required,10,5
quarantined_tables/027_Health_Bulletin_2023/table_0101.csv,unclassified,0,,quality_gate_not_passed,review_required,14,2
quarantined_tables/027_Health_Bulletin_2023/table_0102.csv,unclassified,0,,quality_gate_not_passed,review_required,6,6
quarantined_tables/027_Health_Bulletin_2023/table_0103.csv,unclassified,0,,quality_gate_not_passed,review_required,26,6
quarantined_tables/027_Health_Bulletin_2023/table_0104.csv,unclassified,0,,quality_gate_not_passed,review_required,4,4
quarantined_tables/027_Health_Bulletin_2023/table_0105.csv,unclassified,0,,quality_gate_not_passed,review_required,14,17
quarantined_tables/027_Health_Bulletin_2023/table_0106.csv,unclassified,0,,quality_gate_not_passed,review_required,14,5
quarantined_tables/027_Health_Bulletin_2023/table_0107.csv,unclassified,0,,quality_gate_not_passed,review_required,6,16
quarantined_tables/027_Health_Bulletin_2023/table_0108.csv,unclassified,0,,quality_gate_not_passed,review_required,5,5
quarantined_tables/027_Health_Bulletin_2023/table_0109.csv,unclassified,0,,quality_gate_not_passed,review_required,10,3
quarantined_tables/027_Health_Bulletin_2023/table_0110.csv,unclassified,0,,quality_gate_not_passed,review_required,22,4
quarantined_tables/027_Health_Bulletin_2023/table_0111.csv,unclassified,0,,quality_gate_not_passed,review_required,7,4
quarantined_tables/027_Health_Bulletin_2023/table_0112.csv,unclassified,0,,quality_gate_not_passed,review_required,20,4
quarantined_tables/027_Health_Bulletin_2023/table_0113.csv,unclassified,0,,quality_gate_not_passed,review_required,8,11
quarantined_tables/027_Health_Bulletin_2023/table_0114.csv,unclassified,0,,quality_gate_not_passed,review_required,13,11
quarantined_tables/027_Health_Bulletin_2023/table_0115.csv,unclassified,0,,quality_gate_not_passed,review_required,8,11
quarantined_tables/027_Health_Bulletin_2023/table_0116.csv,unclassified,0,,quality_gate_not_passed,review_required,7,11
quarantined_tables/027_Health_Bulletin_2023/table_0117.csv,unclassified,0,,quality_gate_not_passed,review_required,14,11
quarantined_tables/027_Health_Bulletin_2023/table_0118.csv,unclassified,0,,quality_gate_not_passed,review_required,12,11
quarantined_tables/027_Health_Bulletin_2023/table_0119.csv,unclassified,0,,quality_gate_not_passed,review_required,15,11
quarantined_tables/027_Health_Bulletin_2023/table_0120.csv,unclassified,0,,quality_gate_not_passed,review_required,15,11
quarantined_tables/027_Health_Bulletin_2023/table_0121.csv,unclassified,0,,quality_gate_not_passed,review_required,15,11
quarantined_tables/027_Health_Bulletin_2023/table_0122.csv,unclassified,0,,quality_gate_not_passed,review_required,15,11
quarantined_tables/027_Health_Bulletin_2023/table_0123.csv,unclassified,0,,quality_gate_not_passed,review_required,16,11
quarantined_tables/027_Health_Bulletin_2023/table_0124.csv,unclassified,0,,quality_gate_not_passed,review_required,10,11
quarantined_tables/027_Health_Bulletin_2023/table_0125.csv,unclassified,0,,quality_gate_not_passed,review_required,16,3
quarantined_tables/027_Health_Bulletin_2023/table_0126.csv,unclassified,0,,quality_gate_not_passed,review_required,5,3
quarantined_tables/027_Health_Bulletin_2023/table_0127.csv,unclassified,0,,quality_gate_not_passed,review_required,23,3
quarantined_tables/027_Health_Bulletin_2023/table_0128.csv,unclassified,0,,quality_gate_not_passed,review_required,29,3
quarantined_tables/027_Health_Bulletin_2023/table_0129.csv,unclassified,0,,quality_gate_not_passed,review_required,29,3
quarantined_tables/027_Health_Bulletin_2023/table_0130.csv,unclassified,0,,quality_gate_not_passed,review_required,14,3
quarantined_tables/027_Health_Bulletin_2023/table_0131.csv,unclassified,0,,quality_gate_not_passed,review_required,3,3
quarantined_tables/027_Health_Bulletin_2023/table_0132.csv,unclassified,0,,quality_gate_not_passed,review_required,12,8
quarantined_tables/027_Health_Bulletin_2023/table_0133.csv,unclassified,0,,quality_gate_not_passed,review_required,6,2
quarantined_tables/027_Health_Bulletin_2023/table_0134.csv,unclassified,0,,quality_gate_not_passed,review_required,6,3
quarantined_tables/027_Health_Bulletin_2023/table_0135.csv,unclassified,0,,quality_gate_not_passed,review_required,5,4
quarantined_tables/027_Health_Bulletin_2023/table_0136.csv,unclassified,0,,quality_gate_not_passed,review_required,7,6
quarantined_tables/027_Health_Bulletin_2023/table_0137.csv,unclassified,0,,quality_gate_not_passed,review_required,7,6
quarantined_tables/027_Health_Bulletin_2023/table_0138.csv,unclassified,0,,quality_gate_not_passed,review_required,7,6
quarantined_tables/027_Health_Bulletin_2023/table_0139.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/027_Health_Bulletin_2023/table_0140.csv,unclassified,0,,quality_gate_not_passed,review_required,1,3
quarantined_tables/027_Health_Bulletin_2023/table_0141.csv,unclassified,0,,quality_gate_not_passed,rejected,0,0
quarantined_tables/027_Health_Bulletin_2023/table_0142.csv,unclassified,0,,quality_gate_not_passed,review_required,12,3
quarantined_tables/027_Health_Bulletin_2023/table_0143.csv,unclassified,0,,quality_gate_not_passed,review_required,9,14
quarantined_tables/027_Health_Bulletin_2023/table_0144.csv,unclassified,0,,quality_gate_not_passed,review_required,31,7
quarantined_tables/027_Health_Bulletin_2023/table_0145.csv,unclassified,0,,quality_gate_not_passed,review_required,16,7
quarantined_tables/027_Health_Bulletin_2023/table_0146.csv,unclassified,0,,quality_gate_not_passed,review_required,8,4
quarantined_tables/027_Health_Bulletin_2023/table_0147.csv,unclassified,0,,quality_gate_not_passed,review_required,9,4
quarantined_tables/027_Health_Bulletin_2023/table_0148.csv,unclassified,0,,quality_gate_not_passed,review_required,34,4
quarantined_tables/027_Health_Bulletin_2023/table_0149.csv,unclassified,0,,quality_gate_not_passed,review_required,9,4
quarantined_tables/027_Health_Bulletin_2023/table_0150.csv,unclassified,0,,quality_gate_not_passed,review_required,7,4
quarantined_tables/027_Health_Bulletin_2023/table_0151.csv,unclassified,0,,quality_gate_not_passed,review_required,15,6
quarantined_tables/027_Health_Bulletin_2023/table_0152.csv,unclassified,0,,quality_gate_not_passed,review_required,14,7
quarantined_tables/027_Health_Bulletin_2023/table_0153.csv,unclassified,0,,quality_gate_not_passed,review_required,14,17
quarantined_tables/027_Health_Bulletin_2023/table_0154.csv,unclassified,0,,quality_gate_not_passed,review_required,14,16
quarantined_tables/027_Health_Bulletin_2023/table_0155.csv,unclassified,0,,quality_gate_not_passed,review_required,5,4
quarantined_tables/027_Health_Bulletin_2023/table_0156.csv,unclassified,0,,quality_gate_not_passed,review_required,18,4
quarantined_tables/027_Health_Bulletin_2023/table_0157.csv,unclassified,0,,quality_gate_not_passed,review_required,8,4
quarantined_tables/027_Health_Bulletin_2023/table_0158.csv,unclassified,0,,quality_gate_not_passed,review_required,6,5
