source_file,pipeline_file,quality_status,classification,target_sql_table,mapping_status,load_eligible,loaded_rows,decision_reason
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_012.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_012.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_013.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_013.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_014.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_014.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_015.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_015.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_016.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_016.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_017.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_017.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_018.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_018.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_019.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_019.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_020.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_020.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_021.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_021.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
