source_file,cleaned_file,status,rows_before,rows_after,columns_before,columns_after,duplicate_rows_removed,error
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_017.csv,cleaned_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_017.csv,ok,9,8,5,5,1,
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_018.csv,cleaned_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_018.csv,ok,8,7,5,5,1,
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_019.csv,cleaned_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_019.csv,ok,10,10,38,24,0,
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_020.csv,cleaned_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_020.csv,ok,13,12,38,24,1,
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_021.csv,cleaned_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_021.csv,ok,22,19,9,4,3,
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_022.csv,cleaned_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_022.csv,ok,19,15,7,4,4,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_001.csv,cleaned_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_001.csv,ok,8,7,4,4,1,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_002.csv,cleaned_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_002.csv,ok,5,1,2,1,4,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_003.csv,cleaned_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_003.csv,ok,5,2,2,2,3,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,ok,6,0,7,0,6,
