source_file,file,rows,cols,quality_status,quality_reasons,status,error
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_013.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_013.csv,5,4,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_014.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_014.csv,5,4,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_015.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_015.csv,6,4,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_016.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_016.csv,2,1,rejected,empty_or_single_column,ok,
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_017.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_017.csv,9,5,review_required,placeholder_headers,ok,
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_018.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_018.csv,8,5,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_019.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_019.csv,10,24,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_020.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_020.csv,12,24,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_021.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_021.csv,19,4,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_022.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_022.csv,15,4,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_001.csv,quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_001.csv,8,4,review_required,placeholder_headers,ok,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_002.csv,quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_002.csv,1,1,rejected,empty_or_single_column,ok,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_003.csv,quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_003.csv,2,2,review_required,placeholder_headers;high_internal_blank_ratio;suspected_mojibake_or_replacement_character,ok,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,0,0,rejected,empty_or_single_column,ok,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_005.csv,quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_005.csv,0,0,rejected,empty_or_single_column,ok,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_006.csv,quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_006.csv,0,0,rejected,empty_or_single_column,ok,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_007.csv,quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_007.csv,1,1,rejected,empty_or_single_column,ok,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_008.csv,quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_008.csv,0,0,rejected,empty_or_single_column,ok,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_009.csv,quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_009.csv,0,0,rejected,empty_or_single_column,ok,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_010.csv,quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_010.csv,0,0,rejected,empty_or_single_column,ok,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_011.csv,quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_011.csv,1,1,rejected,empty_or_single_column,ok,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_012.csv,quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_012.csv,1,1,rejected,empty_or_single_column,ok,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_013.csv,quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_013.csv,1,1,rejected,empty_or_single_column,ok,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_014.csv,quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_014.csv,1,1,rejected,empty_or_single_column,ok,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_015.csv,quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_015.csv,0,0,rejected,empty_or_single_column,ok,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_016.csv,quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_016.csv,0,0,rejected,empty_or_single_column,ok,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_017.csv,quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_017.csv,0,0,rejected,empty_or_single_column,ok,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_018.csv,quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_018.csv,1,1,rejected,empty_or_single_column,ok,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_019.csv,quarantined_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_019.csv,0,0,rejected,empty_or_single_column,ok,
extracted_tables/022_United_Nations_Populations_fund/table_001.csv,quarantined_tables/022_United_Nations_Populations_fund/table_001.csv,7,5,review_required,placeholder_headers,ok,
extracted_tables/022_United_Nations_Populations_fund/table_002.csv,quarantined_tables/022_United_Nations_Populations_fund/table_002.csv,28,7,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/022_United_Nations_Populations_fund/table_003.csv,quarantined_tables/022_United_Nations_Populations_fund/table_003.csv,10,7,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/022_United_Nations_Populations_fund/table_004.csv,quarantined_tables/022_United_Nations_Populations_fund/table_004.csv,12,7,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/023_nan/table_001.csv,quarantined_tables/023_nan/table_001.csv,7,5,review_required,placeholder_headers,ok,
extracted_tables/023_nan/table_002.csv,quarantined_tables/023_nan/table_002.csv,10,8,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/023_nan/table_003.csv,quarantined_tables/023_nan/table_003.csv,8,6,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/025_nan/table_001.csv,quarantined_tables/025_nan/table_001.csv,6,4,review_required,placeholder_headers,ok,
extracted_tables/025_nan/table_002.csv,quarantined_tables/025_nan/table_002.csv,5,6,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/025_nan/table_003.csv,quarantined_tables/025_nan/table_003.csv,9,6,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/027_Health_Bulletin_2023/table_0001.csv,quarantined_tables/027_Health_Bulletin_2023/table_0001.csv,1,1,rejected,empty_or_single_column,ok,
extracted_tables/027_Health_Bulletin_2023/table_0002.csv,quarantined_tables/027_Health_Bulletin_2023/table_0002.csv,16,4,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/027_Health_Bulletin_2023/table_0003.csv,quarantined_tables/027_Health_Bulletin_2023/table_0003.csv,16,4,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/027_Health_Bulletin_2023/table_0004.csv,quarantined_tables/027_Health_Bulletin_2023/table_0004.csv,17,13,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/027_Health_Bulletin_2023/table_0005.csv,quarantined_tables/027_Health_Bulletin_2023/table_0005.csv,17,4,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/027_Health_Bulletin_2023/table_0006.csv,quarantined_tables/027_Health_Bulletin_2023/table_0006.csv,26,4,review_required,placeholder_headers,ok,
extracted_tables/027_Health_Bulletin_2023/table_0007.csv,quarantined_tables/027_Health_Bulletin_2023/table_0007.csv,17,4,review_required,placeholder_headers,ok,
extracted_tables/027_Health_Bulletin_2023/table_0008.csv,quarantined_tables/027_Health_Bulletin_2023/table_0008.csv,0,0,rejected,empty_or_single_column,ok,
extracted_tables/027_Health_Bulletin_2023/table_0009.csv,quarantined_tables/027_Health_Bulletin_2023/table_0009.csv,9,4,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/027_Health_Bulletin_2023/table_0010.csv,quarantined_tables/027_Health_Bulletin_2023/table_0010.csv,6,2,review_required,placeholder_headers,ok,
extracted_tables/027_Health_Bulletin_2023/table_0011.csv,quarantined_tables/027_Health_Bulletin_2023/table_0011.csv,29,4,review_required,placeholder_headers,ok,
extracted_tables/027_Health_Bulletin_2023/table_0012.csv,quarantined_tables/027_Health_Bulletin_2023/table_0012.csv,10,4,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/027_Health_Bulletin_2023/table_0013.csv,quarantined_tables/027_Health_Bulletin_2023/table_0013.csv,10,4,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/027_Health_Bulletin_2023/table_0014.csv,quarantined_tables/027_Health_Bulletin_2023/table_0014.csv,11,4,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/027_Health_Bulletin_2023/table_0015.csv,quarantined_tables/027_Health_Bulletin_2023/table_0015.csv,8,4,review_required,placeholder_headers,ok,
extracted_tables/027_Health_Bulletin_2023/table_0016.csv,quarantined_tables/027_Health_Bulletin_2023/table_0016.csv,5,4,review_required,placeholder_headers,ok,
extracted_tables/027_Health_Bulletin_2023/table_0017.csv,quarantined_tables/027_Health_Bulletin_2023/table_0017.csv,12,3,review_required,placeholder_headers,ok,
extracted_tables/027_Health_Bulletin_2023/table_0018.csv,quarantined_tables/027_Health_Bulletin_2023/table_0018.csv,2,2,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/027_Health_Bulletin_2023/table_0019.csv,quarantined_tables/027_Health_Bulletin_2023/table_0019.csv,1,2,review_required,placeholder_headers,ok,
extracted_tables/027_Health_Bulletin_2023/table_0020.csv,quarantined_tables/027_Health_Bulletin_2023/table_0020.csv,4,2,review_required,placeholder_headers,ok,
extracted_tables/027_Health_Bulletin_2023/table_0021.csv,quarantined_tables/027_Health_Bulletin_2023/table_0021.csv,8,4,review_required,placeholder_headers;high_internal_blank_ratio,ok,
extracted_tables/027_Health_Bulletin_2023/table_0022.csv,quarantined_tables/027_Health_Bulletin_2023/table_0022.csv,11,4,review_required,placeholder_headers,ok,
extracted_tables/027_Health_Bulletin_2023/table_0023.csv,quarantined_tables/027_Health_Bulletin_2023/table_0023.csv,12,2,review_required,placeholder_headers,ok,
extracted_tables/027_Health_Bulletin_2023/table_0024.csv,quarantined_tables/027_Health_Bulletin_2023/table_0024.csv,0,0,rejected,empty_or_single_column,ok,
extracted_tables/027_Health_Bulletin_2023/table_0025.csv,quarantined_tables/027_Health_Bulletin_2023/table_0025.csv,0,0,rejected,empty_or_single_column,ok,
extracted_tables/027_Health_Bulletin_2023/table_0026.csv,quarantined_tables/027_Health_Bulletin_2023/table_0026.csv,9,17,review_required,placeholder_headers,ok,
extracted_tables/027_Health_Bulletin_2023/table_0027.csv,quarantined_tables/027_Health_Bulletin_2023/table_0027.csv,3,2,review_required,placeholder_headers,ok,
extracted_tables/027_Health_Bulletin_2023/table_0028.csv,quarantined_tables/027_Health_Bulletin_2023/table_0028.csv,0,0,rejected,empty_or_single_column,ok,
extracted_tables/027_Health_Bulletin_2023/table_0029.csv,quarantined_tables/027_Health_Bulletin_2023/table_0029.csv,7,2,review_required,placeholder_headers,ok,
