file,category,rows,cols
extracted_tables/042_Health_Bulletin_2008/table_029.csv,population,38,5
extracted_tables/042_Health_Bulletin_2008/table_052.csv,other,6,9
extracted_tables/042_Health_Bulletin_2008/table_055.csv,other,11,15
extracted_tables/042_Health_Bulletin_2008/table_091.csv,human_resource,6,9
extracted_tables/042_Health_Bulletin_2008/table_005.csv,health_stat,14,3
extracted_tables/042_Health_Bulletin_2008/table_100.csv,other,38,2
extracted_tables/042_Health_Bulletin_2008/table_031.csv,other,13,4
extracted_tables/042_Health_Bulletin_2008/table_080.csv,other,11,16
extracted_tables/042_Health_Bulletin_2008/table_096.csv,human_resource,7,13
extracted_tables/042_Health_Bulletin_2008/table_123.csv,population,21,2
extracted_tables/042_Health_Bulletin_2008/table_069.csv,population,11,30
extracted_tables/042_Health_Bulletin_2008/table_011.csv,health_stat,19,18
extracted_tables/042_Health_Bulletin_2008/table_030.csv,other,8,4
extracted_tables/042_Health_Bulletin_2008/table_045.csv,health_stat,8,9
extracted_tables/042_Health_Bulletin_2008/table_128.csv,health_stat,33,21
extracted_tables/042_Health_Bulletin_2008/table_106.csv,other,9,6
extracted_tables/042_Health_Bulletin_2008/table_022.csv,health_stat,39,24
extracted_tables/042_Health_Bulletin_2008/table_003.csv,population,37,25
extracted_tables/042_Health_Bulletin_2008/table_117.csv,other,9,6
extracted_tables/042_Health_Bulletin_2008/table_019.csv,health_stat,9,27
extracted_tables/042_Health_Bulletin_2008/table_024.csv,health_stat,23,41
extracted_tables/042_Health_Bulletin_2008/table_047.csv,health_stat,6,7
extracted_tables/042_Health_Bulletin_2008/table_118.csv,other,9,2
extracted_tables/042_Health_Bulletin_2008/table_122.csv,surgery,19,2
extracted_tables/042_Health_Bulletin_2008/table_084.csv,other,8,5
extracted_tables/042_Health_Bulletin_2008/table_010.csv,population,14,18
extracted_tables/042_Health_Bulletin_2008/table_115.csv,other,10,6
extracted_tables/042_Health_Bulletin_2008/table_009.csv,population,63,21
extracted_tables/042_Health_Bulletin_2008/table_028.csv,health_stat,8,57
extracted_tables/042_Health_Bulletin_2008/table_020.csv,other,15,15
extracted_tables/042_Health_Bulletin_2008/table_027.csv,health_stat,42,55
extracted_tables/042_Health_Bulletin_2008/table_035.csv,other,12,4
extracted_tables/042_Health_Bulletin_2008/table_124.csv,health_stat,15,2
